Date,price
2013/12/3,103.38417
2013/12/4,104.060473
2013/12/5,102.940816
2013/12/6,104.263364
2013/12/9,103.654691
2013/12/10,102.910758
2013/12/11,102.489947
2013/12/12,102.497462
2013/12/13,102.497462
2013/12/16,99.919996
2013/12/17,100.100344
2013/12/18,99.559301
2013/12/19,98.552362
2013/12/20,95.170847
2013/12/23,95.065644
2013/12/24,95.140789
2013/12/25,94.877783
2013/12/26,93.735582
2013/12/27,94.832696
2013/12/30,93.525177
2013/12/31,96.470852
2014/1/2,94.667377
2014/1/3,93.164482
2014/1/6,90.722277
2014/1/7,90.594531
2014/1/8,89.722852
2014/1/9,89.677765
2014/1/10,89.625163
2014/1/13,90.091061
2014/1/14,91.158117
2014/1/15,89.241925
2014/1/16,91.669101
2014/1/17,90.399154
2014/1/20,95.27605
2014/1/21,95.426339
2014/1/22,100.821734
2014/1/23,100.761618
2014/1/24,101.821159
2014/1/27,105.766259
2014/1/28,104.616544
2014/1/29,102.955845
2014/1/30,99.341382
2014/2/7,100.611328
2014/2/10,99.837337
2014/2/11,100.724045
2014/2/12,100.806705
2014/2/13,101.948905
2014/2/14,107.381872
2014/2/17,112.702121
2014/2/18,110.470322
2014/2/19,112.36397
2014/2/20,111.958188
2014/2/21,112.025818
2014/2/24,110.928705
2014/2/25,106.983604
2014/2/26,106.728112
2014/2/27,108.922339
2014/2/28,112.732179
2014/3/3,116.421787
2014/3/4,115.272072
2014/3/5,120.111395
2014/3/6,121.734522
2014/3/7,124.357075
2014/3/10,117.932197
2014/3/11,121.869783
2014/3/12,119.126999
2014/3/13,123.891177
2014/3/14,123.139729
2014/3/17,125.093493
2014/3/18,128.738014
2014/3/19,131.02993
2014/3/20,127.129916
2014/3/21,128.79813
2014/3/24,128.715471
2014/3/25,125.348985
2014/3/26,119.096941
2014/3/27,118.473239
2014/3/28,114.700972
2014/3/31,116.248954
2014/4/1,122.102732
2014/4/2,124.469792
2014/4/3,124.221814
2014/4/4,123.282504
2014/4/8,123.643199
2014/4/9,122.748976
2014/4/10,127.377894
2014/4/11,132.314905
2014/4/14,131.022415
2014/4/15,131.120104
2014/4/16,128.51258
2014/4/17,131.653631
2014/4/18,131.736291
2014/4/21,129.286571
2014/4/22,129.346687
2014/4/23,132.299876
2014/4/24,132.074442
2014/4/25,123.755916
2014/4/28,122.328166
2014/4/29,122.929324
2014/4/30,123.147244
2014/5/5,120.419489
2014/5/6,120.82527
2014/5/7,120.727582
2014/5/8,120.735097
2014/5/9,120.697524
2014/5/12,120.915444
2014/5/13,120.787698
2014/5/14,116.677279
2014/5/15,117.338553
2014/5/16,116.59462
2014/5/19,111.199226
2014/5/20,108.944883
2014/5/21,113.468598
2014/5/22,112.754723
2014/5/23,114.44548
2014/5/26,115.399818
2014/5/27,115.121783
2014/5/28,115.677854
2014/5/29,115.940861
2014/5/30,115.136812
2014/6/3,114.79866
2014/6/4,113.581315
2014/6/5,116.301556
2014/6/6,115.414847
2014/6/9,115.144326
2014/6/10,116.324099
2014/6/11,115.677854
2014/6/12,114.693458
2014/6/13,114.828718
2014/6/16,116.038549
2014/6/17,115.114268
2014/6/18,115.407333
2014/6/19,114.768602
2014/6/20,115.106754
2014/6/23,117.458785
2014/6/24,122.914295
2014/6/25,120.799473
2014/6/26,120.298371
2014/6/27,119.228222
2014/6/30,120.587142
2014/7/1,120.408784
2014/7/2,120.672074
2014/7/3,121.674278
2014/7/4,121.725237
2014/7/7,122.43867
2014/7/8,120.757007
2014/7/9,119.958641
2014/7/10,119.788776
2014/7/11,120.493716
2014/7/14,127.203382
2014/7/15,130.634655
2014/7/16,131.280142
2014/7/17,130.583695
2014/7/18,136.724314
2014/7/21,136.724314
2014/7/22,138.609815
2014/7/23,139.195849
2014/7/24,138.890092
2014/7/25,139.187356
2014/7/28,139.501606
2014/7/29,136.79226
2014/7/30,134.626482
2014/7/31,136.121293
2014/8/1,138.422964
2014/8/4,139.629005
2014/8/5,141.200256
2014/8/6,138.711734
2014/8/7,136.40157
2014/8/8,137.709531
2014/8/11,138.499403
2014/8/12,137.624598
2014/8/13,138.006794
2014/8/14,137.13199
2014/8/15,137.199936
2014/8/18,135.679644
2014/8/19,134.770867
2014/8/20,137.590625
2014/8/21,135.866496
2014/8/22,135.271968
2014/8/25,134.830319
2014/8/26,133.955515
2014/8/27,132.808926
2014/8/28,132.511663
2014/8/29,134.388671
2014/9/1,134.575522
2014/9/2,138.066247
2014/9/3,139.985721
2014/9/4,140.189559
2014/9/5,142.270405
2014/9/9,139.357221
2014/9/10,139.212836
2014/9/11,137.573639
2014/9/12,137.972821
2014/9/15,135.390874
2014/9/16,133.73469
2014/9/17,134.388671
2014/9/18,135.254982
2014/9/19,136.613902
2014/9/22,133.293041
2014/9/23,133.751677
2014/9/24,136.053347
2014/9/25,137.751997
2014/9/26,137.853916
2014/9/29,137.989808
2014/9/30,137.701037
2014/10/8,136.511983
2014/10/9,135.900469
2014/10/10,135.059637
2014/10/13,132.579609
2014/10/14,131.568912
2014/10/15,133.615785
2014/10/16,133.615785
2014/10/17,134.516069
2014/10/20,133.276055
2014/10/21,134.584015
2014/10/22,135.110597
2014/10/23,135.085117
2014/10/24,134.940732
